l1_sim,l2_sim,l3_sim,l4_sim
0.080324836,0.15864263,0.41479895,0.53888106
0.16682151,0.18345231,0.15493271,0.046898637
0.007434677,0.28632382,0.28261757,0.44173598
0.07602688,0.23424296,0.23053882,0.32636753
0.09690037,0.32062435,0.38442862,0.57110447
0.1549509,0.15916792,0.26230833,0.2977851
0.069084756,0.0044450616,-0.01924493,-0.047086976
0.042576212,0.0634493,0.258837,0.3546479
0.07838514,0.015049703,-0.0137347095,-0.07490019
0.087480076,-0.06024153,0.004470735,0.33156815
0.06573177,-0.07747794,-0.06425121,-0.003995376
0.05651626,0.089970306,0.1369829,0.19485506
0.04680254,0.4632603,0.44423497,0.37816012
-0.0008101705,0.17574082,0.18145837,0.11316366
0.027779927,0.33348143,0.18787009,0.27530915
0.007056878,0.0010226595,0.10062459,0.4380216
0.07474886,0.1570927,0.12880091,0.4966867
0.109328054,0.16656111,0.22634837,0.34302142
-0.0127564315,-0.035616506,0.098463304,0.35166782
0.014495605,0.1408372,0.16103473,0.47149333
0.053857755,0.19172531,0.20540631,0.26430413
0.09893686,0.31433445,0.3306745,0.43340707
0.09068777,0.23796867,0.33095688,0.41770485
0.039206836,0.113751955,0.26270548,0.47194055
0.0702052,0.1473925,0.27163553,0.29839152
0.101127855,0.040680595,0.30513105,0.2705393
0.08180693,0.20999604,0.5806904,0.901234
0.027884176,0.12174321,0.1323975,0.25285327
0.09882744,0.32279277,0.118050195,0.03809146
0.14785813,0.25531062,0.29427546,0.7673191
0.06825868,0.2700584,0.20586677,0.30176067
0.043888915,0.53314745,0.554233,0.23621921
0.08223174,0.1699385,0.34168828,0.10573065
0.076887734,0.22728616,0.032731496,0.33503774
0.0298769,0.19057435,0.21421528,0.27101156
0.008119519,0.10890675,0.13724382,0.37979293
0.055383068,0.21845928,0.24700774,0.21930163
0.09167417,0.2230813,0.23197618,0.527524
0.053558942,0.09651794,0.10178315,0.31363928
0.06672746,0.12149605,0.16922572,0.59498835
-0.03856823,-0.021726634,0.06313653,0.35153115
0.13161816,0.3082567,0.33170947,0.9314449
0.06973489,0.027692528,0.09362087,0.46363628
0.06943198,0.19957104,0.25704494,0.44573614
0.06504598,0.30965197,0.4550065,0.31279144
0.05668846,0.17999223,0.1819752,0.19807479
0.10768103,0.10478276,0.162903,0.3126327
0.010332334,0.3239985,0.4031488,0.45832807
0.06620679,0.43152887,0.30028355,0.4510087
0.05145517,0.022189688,0.096843146,0.19007628
0.047706228,0.5845417,0.5380737,0.31217304
0.0222436,0.18284707,0.27055433,0.34964883
0.07694335,0.33215106,0.27196103,0.30048853
0.1284905,0.17050882,0.30750418,0.056268755
0.20657977,0.09057151,0.09778876,0.15876289
0.08322674,0.52420384,0.47265786,0.5674733
0.03930055,0.3145802,0.32540864,0.3140155
0.03857253,0.008585362,-0.008090857,0.067110606
0.13558443,0.47202078,0.4113402,0.31604153
0.032722365,0.20609562,0.2585331,0.38907927
0.10696958,0.21129191,0.3179968,-0.03048936
0.143305,-0.01350744,-0.016220544,0.13796559
0.045377664,0.2262272,0.17460504,0.26747084
0.030287886,0.041234195,0.11039964,0.46333966
0.040255263,0.1532957,0.18460958,0.44317165
